"GROUP","CONDITION","ITEM","ITEM_TYPE","SENTENCE_TYPE","STRUCTURE","ACCEPTABILITY","VALUE"
1,"A","1","factorial","Matrix question","Extraction",NA,"Which contestant did they think's performance was the best?"
1,"A","9","factorial","Matrix question","Extraction",NA,"Which executive did you hear's personal assistant quit after only one day?"
1,"A","17","factorial","Matrix question","Extraction",NA,"Which suspect did you think's alibi was the most questionable?"
1,"B","2","factorial","Matrix question","Resumption",NA,"Which politician did you read her chief of staff tested positive for COVID?"
1,"B","10","factorial","Matrix question","Resumption",NA,"Which celebrity chef did you think his restaurant served an amazing truffle risotto?"
1,"B","18","factorial","Matrix question","Resumption",NA,"Which prime minister did you say his latest decision was applauded by human rights groups?"
1,"C","3","factorial","Embedded question","Extraction",NA,"I forget which hockey player you heard's team got a gold medal at the Olympics."
1,"C","11","factorial","Embedded question","Extraction",NA,"I forget which librarian you thought's boss refused to pull racist books off shelves."
1,"C","19","factorial","Embedded question","Extraction",NA,"I forgot which judge you thought's ruling should have been more widely criticized."
1,"D","4","factorial","Embedded question","Resumption",NA,"I forget which driver you thought his brakes sounded too squeaky."
1,"D","12","factorial","Embedded question","Resumption",NA,"I forget which painter you read their sketchbooks are on display in the museum of art."
1,"D","20","factorial","Embedded question","Resumption",NA,"I forget which doctor you heard his treatment helps with back pain."
1,"E","5","factorial","Relative clause with who","Extraction",NA,"That was the student who they suspected's homework was plagiarized."
1,"E","13","factorial","Relative clause with who","Extraction",NA,"That was the neighbour who I said's house has been targeted by package thieves."
1,"E","21","factorial","Relative clause with who","Extraction",NA,"That was the teacher who you thought's students were least prepared for the test."
1,"F","6","factorial","Relative clause with who","Resumption",NA,"That was the author who I heard their latest book just hit the bestseller list."
1,"F","14","factorial","Relative clause with who","Resumption",NA,"That was the singer who I read his YouTube channel reached over a million subscribers."
1,"F","22","factorial","Relative clause with who","Resumption",NA,"That was the comedian who you thought her Netflix special was the funniest."
1,"G","7","factorial","Relative clause with that","Extraction",NA,"That was the mother that I think's kid peed in the pool."
1,"G","15","factorial","Relative clause with that","Extraction",NA,"That was the plumber that I heard's team will come out for emergencies at any time of day."
